task,base_model,training_type,test_mcc,test_mcc_std
gue_emp_h3k4me1,BERT Base,Full FT,0.0,0.0
gue_emp_h3k4me1,BERT Base,No FT,0.36013160787923143,0.016554126593303367
gue_emp_h3k4me1,DNABERT2,Full FT,0.19762361043269483,0.008566462460452302
gue_emp_h3k4me1,DNABERT2,No FT,0.48253750769648995,0.009636084907889943
gue_emp_h3k4me1,EVO2,Full FT,0.28100597368390323,0.00261773254079246
gue_emp_h3k4me1,EVO2,LoRA,0.5600722872667119,0.0071997137699190165
gue_emp_h3k4me1,EVO2,No FT,0.1911049518818567,0.16577225606230966
gue_emp_h3k4me1,Nucleotide Transformer,Full FT,0.20957957150434883,0.002063853570451794
gue_emp_h3k4me1,Nucleotide Transformer,LoRA,0.5202855857612394,
gue_emp_h3k4me1,Nucleotide Transformer,No FT,0.5218093639335318,0.003301044122543806
gue_human_tf_0,BERT Base,Full FT,0.0226718265925101,0.04465256403505772
gue_human_tf_0,BERT Base,No FT,0.6502365292676604,0.01603679906475524
gue_human_tf_0,DNABERT2,Full FT,0.39381674275142925,0.030701350280916515
gue_human_tf_0,DNABERT2,No FT,0.6860726400574887,0.01813300730612616
gue_human_tf_0,EVO2,Full FT,0.382781305100818,0.03852221722844326
gue_human_tf_0,EVO2,LoRA,0.738419173185522,0.004848248907346377
gue_human_tf_0,EVO2,No FT,0.6500871584673438,0.030914581829561815
gue_human_tf_0,Nucleotide Transformer,Full FT,0.5266213615410281,0.018626380360644335
gue_human_tf_0,Nucleotide Transformer,LoRA,0.6709933017397972,
gue_human_tf_0,Nucleotide Transformer,No FT,0.6582731721832225,0.014623773003194316
gue_mouse_0,BERT Base,Full FT,-0.007722696131439534,0.053580951897188964
gue_mouse_0,BERT Base,No FT,0.12811572142008754,0.22190293874793193
gue_mouse_0,DNABERT2,Full FT,0.040301715678588264,0.033188692248139966
gue_mouse_0,DNABERT2,No FT,0.6199436564837898,0.011129381856554524
gue_mouse_0,EVO2,Full FT,0.307400852881266,0.2666089169360671
gue_mouse_0,EVO2,LoRA,0.6626493800176619,0.007675376841855794
gue_mouse_0,EVO2,No FT,0.6621552142017425,0.03299275498932369
gue_mouse_0,Nucleotide Transformer,Full FT,0.23714460137596846,0.0097699924166581
gue_mouse_0,Nucleotide Transformer,LoRA,0.5983357526727344,
gue_mouse_0,Nucleotide Transformer,No FT,0.6036202491142579,0.04198268571247924
gue_prom_core_all,BERT Base,Full FT,0.3225713969253113,0.020178954481605317
gue_prom_core_all,BERT Base,No FT,0.714978639208138,0.004650123597601217
gue_prom_core_all,DNABERT2,Full FT,0.3677806051811631,0.010100322789302152
gue_prom_core_all,DNABERT2,No FT,0.6707567457693328,0.004032273758720822
gue_prom_core_all,EVO2,Full FT,0.4152136449898361,0.023557168523119277
gue_prom_core_all,EVO2,LoRA,0.7014869030659591,0.0050827424457757665
gue_prom_core_all,EVO2,No FT,0.614833252434199,0.018331261138314688
gue_prom_core_all,Nucleotide Transformer,Full FT,0.5437041140825667,0.0019607493892528803
gue_prom_core_all,Nucleotide Transformer,LoRA,0.7064191225721855,
gue_prom_core_all,Nucleotide Transformer,No FT,0.7073009029018262,0.0016217605277759981
gue_splice_reconstructed,BERT Base,Full FT,0.0,0.0
gue_splice_reconstructed,BERT Base,No FT,0.8043962132859971,0.008564065254130955
gue_splice_reconstructed,DNABERT2,Full FT,-0.010174144180705667,0.008811067322256722
gue_splice_reconstructed,DNABERT2,No FT,0.8617893406517966,0.004893206214291108
gue_splice_reconstructed,EVO2,Full FT,0.0,0.0
gue_splice_reconstructed,EVO2,LoRA,0.8940160618958786,0.0041962335293884885
gue_splice_reconstructed,EVO2,No FT,0.894922636929831,0.003916155259029287
gue_splice_reconstructed,Nucleotide Transformer,Full FT,0.08550925873354716,0.005267733549475728
gue_splice_reconstructed,Nucleotide Transformer,LoRA,0.9083355961597152,
gue_splice_reconstructed,Nucleotide Transformer,No FT,0.9048935362000661,0.0033346011643905467
